00:25:33.962	127.0.0.1:50568	admin	OK	EXEC[13]	15.46 ms
00:25:33.968	127.0.0.1:50568	admin	OK	QUERY[14] import module namespace f1_methods = 'com.f1'; declare variable $ano external; f1_methods:top3_drivers($ano)	4.52 ms
00:25:33.973	127.0.0.1:50568	admin	OK	BIND[14] $ano=2020	0.2 ms
00:25:33.984	127.0.0.1:50568	admin	OK	EXEC[14]	11.29 ms
00:25:33.986	127.0.0.1:50568	admin	OK	QUERY[15] import module namespace f1_methods = 'com.f1'; declare variable $ano external; f1_methods:top3_teams($ano)	0.17 ms
00:25:33.986	127.0.0.1:50568	admin	OK	BIND[15] $ano=2020	0.11 ms
00:25:33.993	127.0.0.1:50568	admin	OK	EXEC[15]	6.31 ms
00:25:33.995	127.0.0.1:50568	admin	REQUEST	XQUERY <root>{for $c in collection('f1')//Comments where $c/@season=2020 return $c }</root>	0.96 ms
00:25:34.002	127.0.0.1:50568	admin	OK	Query executed in 5.71 ms.	6.47 ms
00:25:36.230	127.0.0.1:50568	admin	OK	QUERY[16] import module namespace f1_methods = 'com.f1'; declare variable $ano external; f1_methods:season($ano)	0.18 ms
00:25:36.231	127.0.0.1:50568	admin	OK	BIND[16] $ano=2003	0.25 ms
00:25:36.240	127.0.0.1:50568	admin	OK	EXEC[16]	8.6 ms
00:25:36.245	127.0.0.1:50568	admin	OK	QUERY[17] import module namespace f1_methods = 'com.f1'; declare variable $ano external; f1_methods:top3_drivers($ano)	0.16 ms
00:25:36.245	127.0.0.1:50568	admin	OK	BIND[17] $ano=2003	0.13 ms
00:25:36.252	127.0.0.1:50568	admin	OK	EXEC[17]	7.1 ms
00:25:36.254	127.0.0.1:50568	admin	OK	QUERY[18] import module namespace f1_methods = 'com.f1'; declare variable $ano external; f1_methods:top3_teams($ano)	0.13 ms
00:25:36.254	127.0.0.1:50568	admin	OK	BIND[18] $ano=2003	0.14 ms
00:25:36.265	127.0.0.1:50568	admin	OK	EXEC[18]	10.05 ms
00:25:36.267	127.0.0.1:50568	admin	REQUEST	XQUERY <root>{for $c in collection('f1')//Comments where $c/@season=2003 return $c }</root>	0.57 ms
00:25:36.272	127.0.0.1:50568	admin	OK	Query executed in 4.63 ms.	5.2 ms
00:25:37.766	127.0.0.1:50568	admin	OK	QUERY[19] import module namespace f1_methods = 'com.f1'; declare variable $ano external; f1_methods:driver_standings($ano)	0.28 ms
00:25:37.766	127.0.0.1:50568	admin	OK	BIND[19] $ano=2003	0.14 ms
00:25:37.773	127.0.0.1:50568	admin	OK	EXEC[19]	7.04 ms
00:25:43.010	127.0.0.1:50568	admin	OK	QUERY[20] import module namespace f1_methods = 'com.f1'; declare variable $ano external; declare variable $round external; f1_methods:race_results($ano,$round)	0.34 ms
00:25:43.011	127.0.0.1:50568	admin	OK	BIND[20] $ano=2003	0.36 ms
00:25:43.011	127.0.0.1:50568	admin	OK	BIND[20] $round=1	0.08 ms
00:25:43.022	127.0.0.1:50568	admin	OK	EXEC[20]	10.34 ms
