17:24:39.866	SERVER	admin	OK	Server was started (port: 1984).
17:25:44.199	127.0.0.1:50173	admin	REQUEST	OPEN f1	40.23 ms
17:25:44.336	127.0.0.1:50173	admin	OK	Database 'f1' was opened in 126.42 ms.	137.1 ms
17:25:48.353	127.0.0.1:50173	admin	REQUEST	OPEN f1	0.66 ms
17:25:48.354	127.0.0.1:50173	admin	OK	Database 'f1' was opened in 0.08 ms.	0.69 ms
17:25:48.358	127.0.0.1:50173	admin	REQUEST	DELETE RSS	2.76 ms
17:25:48.396	127.0.0.1:50173	admin	OK	0 resource(s) deleted in 23.21 ms.	37.95 ms
17:25:48.398	127.0.0.1:50173	admin	REQUEST	DELETE rssf1.xml	1.0 ms
17:25:48.411	127.0.0.1:50173	admin	OK	1 resource(s) deleted in 5.07 ms.	13.72 ms
17:25:53.813	127.0.0.1:50173	admin	REQUEST	ADD TO RSS [...]	1.44 ms
17:25:54.144	127.0.0.1:50173	admin	OK	Resource(s) added in 318.21 ms.	330.45 ms
17:25:54.146	127.0.0.1:50173	admin	OK	QUERY[0] import module namespace f1_methods = 'com.f1'; declare variable $ano external; f1_methods:rss()	1.61 ms
17:25:54.703	127.0.0.1:50173	admin	OK	EXEC[0]	556.88 ms
17:26:20.116	127.0.0.1:50173	admin	REQUEST	OPEN f1	0.51 ms
17:26:20.116	127.0.0.1:50173	admin	OK	Database 'f1' was opened in 0.02 ms.	0.32 ms
17:26:20.117	127.0.0.1:50173	admin	REQUEST	DELETE RSS	0.44 ms
17:26:20.121	127.0.0.1:50173	admin	OK	1 resource(s) deleted in 0.98 ms.	4.22 ms
17:26:20.122	127.0.0.1:50173	admin	REQUEST	DELETE rssf1.xml	0.31 ms
17:26:20.124	127.0.0.1:50173	admin	OK	0 resource(s) deleted in 0.78 ms.	2.11 ms
17:26:22.726	127.0.0.1:50173	admin	REQUEST	ADD TO RSS [...]	0.22 ms
17:26:22.769	127.0.0.1:50173	admin	OK	Resource(s) added in 36.99 ms.	42.09 ms
17:26:22.769	127.0.0.1:50173	admin	OK	QUERY[1] import module namespace f1_methods = 'com.f1'; declare variable $ano external; f1_methods:rss()	0.12 ms
17:26:22.784	127.0.0.1:50173	admin	OK	EXEC[1]	14.99 ms
17:28:32.516	127.0.0.1:50173	admin	OK	QUERY[2] import module namespace f1_methods = 'com.f1'; declare variable $ano external; f1_methods:drivers($ano)	0.43 ms
17:28:32.565	127.0.0.1:50173	admin	OK	BIND[2] $ano=2020	48.82 ms
17:28:32.586	127.0.0.1:50173	admin	OK	EXEC[2]	20.5 ms
17:28:36.466	127.0.0.1:50173	admin	OK	QUERY[3] import module namespace f1_methods = 'com.f1'; declare variable $ano external; f1_methods:drivers($ano)	0.17 ms
17:28:36.467	127.0.0.1:50173	admin	OK	BIND[3] $ano=2014	0.15 ms
17:28:36.478	127.0.0.1:50173	admin	OK	EXEC[3]	10.72 ms
17:28:37.137	127.0.0.1:50173	admin	REQUEST	ADD TO 2014/2014_drivers [...]	0.19 ms
17:28:37.152	127.0.0.1:50173	admin	OK	Resource(s) added in 9.03 ms.	15.0 ms
17:28:37.152	127.0.0.1:50173	admin	OK	QUERY[4] import module namespace f1_methods = 'com.f1'; declare variable $ano external; f1_methods:drivers($ano)	0.12 ms
17:28:37.153	127.0.0.1:50173	admin	OK	BIND[4] $ano=2014	0.16 ms
17:28:37.164	127.0.0.1:50173	admin	OK	EXEC[4]	10.76 ms
17:28:40.035	127.0.0.1:50173	admin	OK	QUERY[5] import module namespace f1_methods = 'com.f1'; declare variable $ano external; f1_methods:drivers($ano)	0.15 ms
17:28:40.035	127.0.0.1:50173	admin	OK	BIND[5] $ano=2018	0.17 ms
17:28:40.051	127.0.0.1:50173	admin	OK	EXEC[5]	16.1 ms
17:29:07.949	127.0.0.1:50173	admin	OK	QUERY[6] import module namespace f1_methods = 'com.f1'; declare variable $ano external; f1_methods:drivers($ano)	0.19 ms
17:29:07.950	127.0.0.1:50173	admin	OK	BIND[6] $ano=2015	0.13 ms
17:29:07.959	127.0.0.1:50173	admin	OK	EXEC[6]	9.44 ms
17:29:08.374	127.0.0.1:50173	admin	REQUEST	ADD TO 2015/2015_drivers [...]	0.15 ms
17:29:08.385	127.0.0.1:50173	admin	OK	Resource(s) added in 5.74 ms.	11.07 ms
17:29:08.385	127.0.0.1:50173	admin	OK	QUERY[7] import module namespace f1_methods = 'com.f1'; declare variable $ano external; f1_methods:drivers($ano)	0.12 ms
17:29:08.386	127.0.0.1:50173	admin	OK	BIND[7] $ano=2015	0.17 ms
17:29:08.395	127.0.0.1:50173	admin	OK	EXEC[7]	9.41 ms
17:30:34.894	127.0.0.1:50173	admin	OK	QUERY[8] import module namespace f1_methods = 'com.f1'; declare variable $ano external; f1_methods:constructors($ano)	0.16 ms
17:30:34.895	127.0.0.1:50173	admin	OK	BIND[8] $ano=2015	0.13 ms
17:30:34.903	127.0.0.1:50173	admin	OK	EXEC[8]	7.93 ms
17:30:35.221	127.0.0.1:50173	admin	REQUEST	ADD TO 2015/2015_constructors [...]	0.14 ms
17:30:35.229	127.0.0.1:50173	admin	OK	Resource(s) added in 2.94 ms.	7.62 ms
17:30:35.229	127.0.0.1:50173	admin	OK	QUERY[9] import module namespace f1_methods = 'com.f1'; declare variable $ano external; f1_methods:constructors($ano)	0.07 ms
17:30:35.229	127.0.0.1:50173	admin	OK	BIND[9] $ano=2015	0.11 ms
17:30:35.238	127.0.0.1:50173	admin	OK	EXEC[9]	8.32 ms
17:30:45.815	127.0.0.1:50173	admin	OK	QUERY[10] import module namespace f1_methods = 'com.f1'; declare variable $ano external; f1_methods:constructors($ano)	0.43 ms
17:30:45.815	127.0.0.1:50173	admin	OK	BIND[10] $ano=1995	0.16 ms
17:30:45.821	127.0.0.1:50173	admin	OK	EXEC[10]	6.01 ms
17:30:46.221	127.0.0.1:50173	admin	REQUEST	ADD TO 1995/1995_constructors [...]	0.16 ms
17:30:46.228	127.0.0.1:50173	admin	OK	Resource(s) added in 3.1 ms.	6.49 ms
17:30:46.228	127.0.0.1:50173	admin	OK	QUERY[11] import module namespace f1_methods = 'com.f1'; declare variable $ano external; f1_methods:constructors($ano)	0.07 ms
17:30:46.228	127.0.0.1:50173	admin	OK	BIND[11] $ano=1995	0.11 ms
17:30:46.237	127.0.0.1:50173	admin	OK	EXEC[11]	8.28 ms
